identifier,name,opens,openingHours,geoCoordinates.latitude,geoCoordinates.longitude,reservation,hasBreakfast,hasBrunch,hasLunch,hasDinner,isVegetarian,isVegan,main_dishes
2277,Differente im Hotel Krone Unterstrass,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 08:00:00-23:00:00', 'Sa 17:00:00-23:00:00']",47.388158,8.539038,0,0,0,1,1,0,0,['culinary-mediterranean']
2275,Chäsalp,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa 11:30:00-14:30:00', 'Mo,Tu,We,Th,Fr,Sa 17:30:00-00:00:00', 'Su 10:00:00-00:00:00']",47.382069,8.587926,0,0,1,1,1,0,0,['culinary-local-specialities']
2268,Emilio,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 12:00:00-13:30:00', 'Mo,Tu,We,Th,Fr,Sa,Su 18:00:00-21:30:00']",47.372944,8.527191,0,0,0,1,1,0,0,['culinary-spanish']
2260,Gartenhof,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 18:00:00-00:00:00']",47.371909,8.525645,0,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2258,Restaurant Hillz,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th 10:00:00-22:00:00', 'Fr,Sa 10:00:00-23:00:00', 'Su 10:00:00-18:00:00']",47.3485,8.4918,1,0,1,1,1,0,0,"['culinary-local-specialities', 'audience-info-children']"
2255,Haus zum Rüden,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 11:00:00-23:00:00']",47.370857,8.543202,1,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2251,Hirschen am See,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa,Su 18:00:00-22:00:00', 'Th,Fr,Sa,Su 11:30:00-14:00:00']",47.264364,8.655994,0,0,0,1,1,0,0,"['culinary-gourmet', 'culinary-mediterranean']"
2249,Le Dézaley,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr,Sa 11:30:00-14:30:00', 'Mo,Tu,We,Th,Fr,Sa 17:30:00-23:00:00']",47.370661,8.543785,0,0,0,1,1,0,0,['culinary-local-specialities']
2241,Restaurant Steinbock,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo 11:30:00-14:30:00', 'Tu,We,Th,Fr 17:00:00-23:30:00', 'Sa,Su 11:00:00-22:00:00']",47.226093,8.814641,0,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2239,Restaurant Theater 11,[],,47.410841,8.549477,0,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2237,Zum Grünen Glas,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 17:30:00-23:00:00']",47.371508,8.545721,0,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2234,Zum Kropf,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 18:00:00-23:00:00']",47.370687,8.54019,0,0,0,1,1,0,0,['culinary-local-specialities']
2224,Ristorante La Scala,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 17:30:00-22:30:00']",47.225589,8.815215,0,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza']"
2219,La Rôtisserie,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa 11:45:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 18:00:00-22:00:00', 'Su 11:30:00-15:00:00']",47.371186,8.541746,0,0,1,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2214,Sala of Tokyo,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr 11:30:00-14:00:00', 'Tu,We,Th,Fr,Sa 18:00:00-23:00:00']",47.376182,8.540213,0,0,0,1,1,0,0,"['culinary-gourmet', 'culinary-asian', 'culinary-japanese-sushi']"
2212,San Marco,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa 11:30:00-23:00:00', 'Su 11:30:00-22:30:00']",47.226123,8.814861,0,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza']"
2209,Sayori Sushi Bar,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 10:00:00-23:00:00']",47.225536,8.816877,0,0,0,1,1,0,0,"['culinary-asian', 'culinary-japanese-sushi']"
2207,Restaurant Schipfe 16,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']",,47.373118,8.54179,1,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2198,Sedartis,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",,47.295489,8.565923,1,1,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2196,Seehof,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa 07:00:00-00:00:00', 'Su 07:00:00-22:00:00']",47.225399,8.943753,0,0,0,1,1,0,0,['culinary-local-specialities']
2194,Sento,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",,47.373738,8.553185,1,0,0,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza']"
2188,Sonnengalerie – Romantik Seehotel Sonne Küsnacht,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 12:00:00-19:00:00', 'Sa,Su 12:00:00-20:00:00']",47.319026,8.578657,0,0,0,1,1,0,0,"['culinary-gourmet', 'culinary-local-specialities', 'culinary-mediterranean']"
2185,Wirtshaus zur Krone,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 06:30:00-23:00:00', 'Sa 07:00:00-23:00:00', 'Su 07:00:00-10:30:00']",47.499379,8.727405,0,1,0,1,1,0,0,['culinary-local-specialities']
2179,Restaurant Viadukt,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 08:00:00-00:00:00', 'Sa 09:00:00-00:00:00', 'Su 10:00:00-00:00:00']",47.386143,8.522029,0,0,0,1,1,0,0,[]
2171,Brauerei Steinfels,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th 11:00:00-00:00:00', 'Fr 11:00:00-02:00:00', 'Sa 16:00:00-02:00:00']",47.388727,8.521379,0,0,0,1,1,0,0,"['culinary-international', 'atmosphere-relaxed-and-cosy', 'atmosphere']"
2155,The Bite,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 17:30:00-22:00:00', 'Sa,Su 10:00:00-14:00:00']",47.377334,8.527765,0,0,0,0,1,0,0,['culinary-american']
2151,Tao's Restaurant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa 18:00:00-00:00:00', 'Sa 12:00:00-15:00:00']",47.371516,8.540126,0,0,0,1,1,0,0,"['culinary-asian', 'atmosphere', 'atmosphere-glamurous-and-chic']"
2138,Tessin Grotto,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa 09:00:00-23:00:00', 'Su 09:00:00-22:00:00']",47.403362,8.515915,1,0,0,1,1,0,0,['culinary-local-specialities']
2136,Thai Orchid Gourmet,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa 11:30:00-14:00:00', 'We,Th,Fr,Sa,Su 17:30:00-23:00:00']",47.228312,8.819155,0,0,0,1,1,0,0,['culinary-asian']
2133,The Steakhouse,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr 18:00:00-23:00:00', 'Sa 17:30:00-23:00:00', 'Su 11:30:00-23:00:00']",47.193486,8.851502,1,0,0,1,1,0,0,"['culinary-bbq', 'culinary-fish']"
2131,Totò,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 11:30:00-14:00:00', 'Mo,Tu,We,Th,Fr 18:00:00-22:00:00', 'Sa,Su 11:30:00-22:00:00']",47.35809,8.553849,1,0,1,1,1,0,0,"['culinary-italian', 'culinary-pasta', 'culinary-pizza', 'atmosphere-lively-and-cheerful', 'atmosphere']"
2127,Restaurant Quellenhof,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa,Su 10:00:00-14:30:00', 'We,Th,Fr,Sa 17:30:00-23:00:00', 'Su 17:30:00-22:00:00']",47.2280609,8.8192286,1,0,0,1,1,0,0,"['culinary-international', 'culinary-gourmet', 'culinary-local-specialities']"
2126,Veltlinerkeller,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['Mo,Tu,We,Th,Fr 11:30:00-00:00:00']",47.370973,8.541172,1,0,0,1,1,0,0,"['culinary-local-specialities', 'culinary-mediterranean']"
2124,Daniel H.,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th 17:00:00-00:00:00', 'Fr 17:00:00-02:00:00', 'Sa 19:00:00-02:00:00']",47.375427,8.529303,0,0,0,0,1,0,0,"['culinary-local-specialities', 'atmosphere-relaxed-and-cosy', 'atmosphere', 'atmosphere-lgbtq']"
